Type,Number,Company,City,Province,Country,Latitude,Longitude
2,100,Yuantong,Beijing,Beijing,China,40.061386,116.309265
2,101,Yuantong,Beijing,Beijing,China,40.025156,116.353364
2,102,Yuantong,Beijing,Beijing,China,39.965487,116.362894
2,103,Yuantong,Beijing,Beijing,China,39.958569,116.366819
2,104,Yuantong,Beijing,Beijing,China,39.966539,116.276521
2,105,Yuantong,Beijing,Beijing,China,39.912541,116.261599
2,106,Yuantong,Beijing,Beijing,China,39.908832,116.23513
2,107,Yuantong,Beijing,Beijing,China,39.858898,116.35542
2,108,Yuantong,Beijing,Beijing,China,39.857928,116.315575
2,109,Yuantong,Beijing,Beijing,China,39.729849,116.070186
2,110,Yuantong,Beijing,Beijing,China,39.72537,116.353741
2,111,Yuantong,Beijing,Beijing,China,39.675353,116.325739
2,112,Yuantong,Beijing,Beijing,China,39.952867,116.329513
2,113,Yuantong,Beijing,Beijing,China,39.83823,116.162675
2,114,Yuantong,Beijing,Beijing,China,40.205813,116.243846
2,115,Yuantong,Beijing,Beijing,China,40.247138,116.13398
2,116,Yuantong,Beijing,Beijing,China,39.906246,116.491838
2,117,Yuantong,Beijing,Beijing,China,39.944321,116.458515
2,118,Yuantong,Beijing,Beijing,China,39.818281,116.575933
2,119,Yuantong,Beijing,Beijing,China,40.033452,116.346526
2,120,Yuantong,Beijing,Beijing,China,40.159996,117.129919
2,121,Yuantong,Beijing,Beijing,China,40.142913,116.711463
2,122,Yuantong,Beijing,Beijing,China,40.152729,116.305411
2,123,Yuantong,Beijing,Beijing,China,39.959716,116.454271
2,124,Yuantong,Beijing,Beijing,China,39.850917,116.237073
2,125,Yuantong,Beijing,Beijing,China,39.728217,115.973955
2,126,Yuantong,Beijing,Beijing,China,40.375133,116.860555
2,127,Yuantong,Beijing,Beijing,China,40.168307,116.852874
2,128,Yuantong,Beijing,Beijing,China,40.118762,116.618002
2,129,Yuantong,Beijing,Beijing,China,40.084412,116.600644
2,130,Yuantong,Beijing,Beijing,China,39.916493,116.445679
2,131,Yuantong,Beijing,Beijing,China,39.66193,116.634863
2,132,Yuantong,Beijing,Beijing,China,39.652487,115.986725
2,133,Yuantong,Beijing,Beijing,China,40.069697,116.836087
2,134,Yuantong,Beijing,Beijing,China,40.190323,116.075295
2,135,Yuantong,Beijing,Beijing,China,40.004695,116.426239
2,136,Yuantong,Beijing,Beijing,China,39.879544,116.642606
2,137,Yuantong,Beijing,Beijing,China,40.086961,116.594178
2,138,Yuantong,Beijing,Beijing,China,40.135384,117.131241
2,139,Yuantong,Beijing,Beijing,China,40.138514,116.43571
2,140,Yuantong,Beijing,Beijing,China,40.168092,116.850087
