Type,Number,Company,City,Province,Country,Latitude,Longitude
2,100,Cainiao,Beijing,Beijing,China,39.940178,116.694072
2,101,Cainiao,Beijing,Beijing,China,39.923689,116.659154
2,102,Cainiao,Beijing,Beijing,China,39.909218,116.582936
2,103,Cainiao,Beijing,Beijing,China,40.009908,116.47901
2,104,Cainiao,Beijing,Beijing,China,40.008964,116.469089
2,105,Cainiao,Beijing,Beijing,China,40.008719,116.420603
2,106,Cainiao,Beijing,Beijing,China,39.933361,116.506568
2,107,Cainiao,Beijing,Beijing,China,39.91195,116.48012
2,108,Cainiao,Beijing,Beijing,China,39.974501,116.404319
2,109,Cainiao,Beijing,Beijing,China,39.881409,116.665333
2,110,Cainiao,Beijing,Beijing,China,39.884527,116.648516
2,111,Cainiao,Beijing,Beijing,China,39.877754,116.67234
2,112,Cainiao,Beijing,Beijing,China,39.897958,116.673544
2,113,Cainiao,Beijing,Beijing,China,39.893574,116.656892
2,114,Cainiao,Beijing,Beijing,China,39.893547,116.473874
2,115,Cainiao,Beijing,Beijing,China,39.863906,116.44302
2,116,Cainiao,Beijing,Beijing,China,39.876581,116.432535
2,117,Cainiao,Beijing,Beijing,China,39.879755,116.377875
2,118,Cainiao,Beijing,Beijing,China,39.881767,116.381991
2,119,Cainiao,Beijing,Beijing,China,39.847286,116.394932
2,120,Cainiao,Beijing,Beijing,China,39.848061,116.396006
2,121,Cainiao,Beijing,Beijing,China,39.768284,116.504196
2,122,Cainiao,Beijing,Beijing,China,40.038609,116.363036
2,123,Cainiao,Beijing,Beijing,China,40.068305,116.326727
2,124,Cainiao,Beijing,Beijing,China,40.03019,116.271547
2,125,Cainiao,Beijing,Beijing,China,39.97708,116.348398
2,126,Cainiao,Beijing,Beijing,China,39.954109,116.362319
2,127,Cainiao,Beijing,Beijing,China,39.981285,116.341117
2,128,Cainiao,Beijing,Beijing,China,39.961906,116.279431
2,129,Cainiao,Beijing,Beijing,China,39.928439,116.299925
2,130,Cainiao,Beijing,Beijing,China,39.94591,116.306323
2,131,Cainiao,Beijing,Beijing,China,39.938665,116.320604
2,132,Cainiao,Beijing,Beijing,China,39.938256,116.213495
2,133,Cainiao,Beijing,Beijing,China,39.920224,116.207219
2,134,Cainiao,Beijing,Beijing,China,39.93815,116.196839
2,135,Cainiao,Beijing,Beijing,China,39.938486,116.202116
2,136,Cainiao,Beijing,Beijing,China,39.907438,116.235118
2,137,Cainiao,Beijing,Beijing,China,39.897303,116.350149
2,138,Cainiao,Beijing,Beijing,China,39.878904,116.332364
2,139,Cainiao,Beijing,Beijing,China,39.897207,116.357329
2,140,Cainiao,Beijing,Beijing,China,39.892078,116.328353
2,141,Cainiao,Beijing,Beijing,China,39.867768,116.294098
2,142,Cainiao,Beijing,Beijing,China,39.895519,116.289089
2,143,Cainiao,Beijing,Beijing,China,39.833254,116.344271
2,144,Cainiao,Beijing,Beijing,China,39.858811,116.27037
2,145,Cainiao,Beijing,Beijing,China,39.86576,116.264272
2,146,Cainiao,Beijing,Beijing,China,39.897342,116.230137
2,147,Cainiao,Beijing,Beijing,China,39.85771,116.202782
2,148,Cainiao,Beijing,Beijing,China,39.791806,116.30414
2,149,Cainiao,Beijing,Beijing,China,39.743044,116.334289
2,150,Cainiao,Beijing,Beijing,China,39.758429,116.349054
2,151,Cainiao,Beijing,Beijing,China,39.751774,116.340852
2,152,Cainiao,Beijing,Beijing,China,39.756095,116.341005
2,153,Cainiao,Beijing,Beijing,China,39.738662,116.334275
2,154,Cainiao,Beijing,Beijing,China,39.771957,116.165278
2,155,Cainiao,Beijing,Beijing,China,39.737741,116.159045
2,156,Cainiao,Beijing,Beijing,China,39.730425,116.144282
